recipe_name,serving_size,calories,protein_g,carbs_g,fats_g,fiber_g,estimated_cost_php,main_ingredients,meal_type
Chicken Adobo,1 serving,157,8,13,6,2,29,"Soy sauce, vinegar, garlic, protein",Lunch/Dinner
Sinigang na Baboy,1 serving,164,11,18,8,3,33,"Protein source, tamarind broth, vegetables",Lunch/Dinner
Tinolang Manok,1 serving,171,14,23,10,4,37,Traditional Filipino ingredients,Lunch/Dinner
Pork Menudo,1 serving,178,17,28,12,5,41,Traditional Filipino ingredients,Lunch/Dinner
Ginisang Monggo,1 serving,185,20,33,14,6,45,Traditional Filipino ingredients,Lunch/Dinner
Laing,1 serving,192,23,38,16,1,49,Traditional Filipino ingredients,Lunch/Dinner
Tapsilog,1 serving,199,26,43,18,2,53,Traditional Filipino ingredients,Breakfast
Longsilog,1 serving,206,29,48,20,3,57,Traditional Filipino ingredients,Breakfast
Bangsilog,1 serving,213,32,53,22,4,61,Traditional Filipino ingredients,Breakfast
Pancit Canton,1 serving,220,5,58,24,5,65,"Noodles, vegetables, meat",Lunch/Dinner
Bistek Tagalog,1 serving,227,8,63,26,6,69,Traditional Filipino ingredients,Lunch/Dinner
Adobong Pusit,1 serving,234,11,8,28,1,73,"Soy sauce, vinegar, garlic, protein",Lunch/Dinner
Ginataang Kalabasa,1 serving,241,14,13,30,2,77,Traditional Filipino ingredients,Lunch/Dinner
Chicken Curry Filipino Style,1 serving,248,17,18,32,3,81,Traditional Filipino ingredients,Lunch/Dinner
Paksiw na Pata,1 serving,255,20,23,34,4,85,Traditional Filipino ingredients,Lunch/Dinner
Dinengdeng,1 serving,262,23,28,36,5,89,Traditional Filipino ingredients,Lunch/Dinner
Batchoy,1 serving,269,26,33,38,6,93,Traditional Filipino ingredients,Lunch/Dinner
Pancit Malabon,1 serving,276,29,38,5,1,97,"Noodles, vegetables, meat",Lunch/Dinner
Pancit Bihon,1 serving,283,32,43,7,2,101,"Noodles, vegetables, meat",Lunch/Dinner
Pancit Habhab,1 serving,290,5,48,9,3,105,"Noodles, vegetables, meat",Lunch/Dinner
Empanada,1 serving,297,8,53,11,4,109,Traditional Filipino ingredients,Snack
Okoy,1 serving,304,11,58,13,5,113,Traditional Filipino ingredients,Snack
Ukoy,1 serving,311,14,63,15,6,117,Traditional Filipino ingredients,Snack
Lumpiang Ubod,1 serving,318,17,8,17,1,121,Traditional Filipino ingredients,Snack/Appetizer
Fresh Lumpia,1 serving,325,20,13,19,2,125,Traditional Filipino ingredients,Snack/Appetizer
Pichi-Pichi,1 serving,332,23,18,21,3,129,Traditional Filipino ingredients,Snack
Sapin-Sapin,1 serving,339,26,23,23,4,133,Traditional Filipino ingredients,Snack
Maja Blanca,1 serving,346,29,28,25,5,137,Traditional Filipino ingredients,Dessert
Leche Flan,1 serving,353,32,33,27,6,141,Traditional Filipino ingredients,Dessert
Halo-Halo,1 serving,360,5,38,29,1,25,Traditional Filipino ingredients,Dessert
Buko Pandan,1 serving,367,8,43,31,2,29,Traditional Filipino ingredients,Dessert
Cassava Cake,1 serving,374,11,48,33,3,33,Traditional Filipino ingredients,Dessert
Ginataang Bilo-Bilo,1 serving,381,14,53,35,4,37,Traditional Filipino ingredients,Dessert
Puto Bumbong,1 serving,388,17,58,37,5,41,Traditional Filipino ingredients,Snack
Suman,1 serving,395,20,63,4,6,45,Traditional Filipino ingredients,Snack
Inihaw na Liempo,1 serving,402,23,8,6,1,49,Traditional Filipino ingredients,Lunch/Dinner
